425562, bits 
169,0000000
136,00000010
139,00000011
177,0000010
171,0000011
138,00001000
109,00001001000
64,00001001001
105,00001001010
107,00001001011
117,0000100110
79,000010011100
97,000010011101
100,000010011110
54,000010011111
174,0000101
197,000011
178,0001000
179,0001001
173,0001010
137,00010110
129,000101110
108,00010111100
80,000101111010
90,000101111011
114,0001011111
227,000110
181,0001110
143,00011110
126,000111110
127,000111111
180,0010000
172,0010001
199,001001
198,001010
142,00101100
128,001011010
116,0010110110
119,0010110111
229,001011100
82,001011101000
8,00101110100100
21,0010111010010100
17,0010111010010101
28,0010111010010110
23,0010111010010111
84,0010111010011
1,00101110101
44,0010111011000
49,0010111011001
71,001011101101
110,00101110111
145,00101111
225,0011
215,010000
218,010001
226,01001
219,010100
182,0101010
144,01010110
48,010101110000
77,010101110001
69,010101110010
98,010101110011
111,01010111010
113,01010111011
130,010101111
223,01011
217,011000
220,011001
210,011010
201,011011
176,0111000
185,0111001
202,011101
221,011110
216,011111
224,1000
147,10010000
146,10010001
186,1001001
211,100101
212,100110
214,100111
213,101000
184,1010010
42,1010011000000
254,1010011000001000
10,1010011000001001
6,1010011000001010
2,1010011000001011
46,10100110000011
89,101001100001
51,101001100010
101,101001100011
59,101001100100
92,101001100101
95,101001100110
88,101001100111
60,1010011010000
41,1010011010001
3,1010011010010
231,1010011010011
106,10100110101
123,1010011011
149,10100111
203,101010
200,101011
187,1011000
148,10110010
102,101100110000
104,101100110001
63,101100110010
81,101100110011
118,1011001101
131,101100111
209,101101
204,101110
207,101111
208,110000
206,110001
205,110010
191,1100110
154,11001110
155,11001111
189,1101000
188,1101001
151,11010100
150,11010101
61,110101100000
85,110101100001
96,110101100010
66,110101100011
103,110101100100
87,1101011001010
55,1101011001011
112,11010110011
122,1101011010
62,1101011011000
75,1101011011001
50,1101011011010
47,1101011011011
230,11010110111
152,11010111
190,1101100
158,11011010
157,11011011
162,11011100
161,11011101
153,11011110
159,11011111
222,111000
132,111001000
133,111001001
58,111001010000
65,111001010001
78,1110010100100
99,1110010100101
232,111001010011000
40,1110010100110010
38,11100101001100110
36,11100101001100111
45,11100101001101
74,1110010100111
121,1110010101
115,11100101100
91,111001011010
57,111001011011
125,1110010111
160,11100110
156,11100111
193,1110100
165,11101010
0,11101011
228,11101100
166,11101101
194,1110111
134,111100000
67,111100001000
72,1111000010010
83,1111000010011
86,1111000010100
53,1111000010101
94,1111000010110
76,1111000010111
120,1111000011
164,11110001
192,1111001
195,1111010
163,11110110
167,11110111
135,111110000
141,111110001
183,11111001
175,11111010
170,11111011
196,1111110
168,11111110
140,111111110
56,111111111000
68,1111111110010
52,1111111110011
70,1111111110100
73,1111111110101
93,1111111110110
4,111111111011100
39,111111111011101
43,11111111101111
124,1111111111
